48	50
48	50
48	50
49	48
48	50
68	49
68	49
68	49
50	48
50	48
50	48
50	48
48	49
48	49
50	72
50	72
50	72
50	72
36	4
72	49
72	49
71	32
32	49
72	49
72	49
50	72
50	72
50	72
50	72
68	49
71	32
32	49
72	50
50	67
50	67
50	67
50	67
68	49
72	50
72	50
72	50
49	32
49	32
49	32
49	32
71	32
32	49
71	32
67	50
67	50
67	50
67	50
32	49
72	50
49	72
72	50
72	50
72	50
49	72
49	72
49	72
32	71
32	71
32	71
32	71
49	36
49	68
49	68
4	36
50	48
50	48
50	48
36	49
49	67
49	67
49	67
49	67
49	67
49	67
67	69
67	69
50	38
48	50
48	50
48	50
50	68
50	68
50	68
50	68
49	67
67	69
67	49
67	49
69	67
69	67
67	49
67	49
67	49
67	49
68	50
68	50
68	50
68	50
37	49
37	49
21	49
21	49
49	37
49	37
49	21
49	21
67	49
67	49
38	50
67	38
62	49
62	49
62	49
38	50
67	38
38	50
32	49
32	49
32	49
32	49
50	67
50	67
50	67
50	67
72	49
72	49
72	49
72	49
67	50
49	67
49	67
49	67
49	67
62	49
67	50
67	50
67	50
38	67
50	38
50	38
49	62
49	62
49	62
49	62
38	67
38	67
67	49
67	49
49	72
49	72
49	72
49	72
67	38
49	37
62	49
49	62
49	62
49	62
49	62
49	57
49	57
49	57
49	57
49	22
49	22
49	22
49	22
49	62
49	62
49	62
49	62
49	32
49	32
49	32
49	32
62	49
62	49
57	49
57	49
57	49
57	49
62	49
62	49
62	49
62	49
62	49
62	49
49	62
49	62
22	49
22	49
22	49
49	62
49	62
49	62
49	62
49	62
49	62
49	62
49	62
49	37
49	37
49	37
62	49
37	49
37	49
37	49
37	49
62	49
62	49
22	49
62	49
62	49
62	50
49	27
49	27
62	49
62	49
62	50
62	50
50	62
50	62
50	62
16	49
49	62
49	62
49	62
49	62
49	16
62	50
62	50
16	49
16	49
16	49
62	49
49	57
49	57
49	57
49	57
49	16
49	16
49	16
62	49
62	50
62	50
49	62
49	62
49	62
49	62
62	49
62	49
50	62
50	62
50	62
50	62
50	62
27	49
27	49
49	22
49	22
62	49
22	49
22	49
62	49
62	49
62	49
62	49
62	49
62	50
14	49
14	49
60	79
60	79
60	79
60	79
49	79
49	79
49	79
49	79
14	49
14	49
14	49
14	49
17	49
17	49
17	49
17	49
61	14
61	14
61	14
61	14
49	23
63	14
63	14
14	61
79	60
79	60
79	60
14	63
14	63
49	24
14	61
14	61
14	61
60	50
60	50
49	14
49	14
